실행시간,분석모드,구분,결과값
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.01428571428571431
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.004545454545454567
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.004545454545454567
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.12818181818181826
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.004545454545454567
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",0.013333333333333272
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
